Title,Date
"무신사에서, 생로랑, 카산드라, 샌들, 또, 샀어요",2023.11.
"크림, 눕시",2023.11.
"시엔느, 베어백, 샀어요",2023.11.
"SSF, 메종키츠네, 가디건, 왔어오이제, 개",2023.11.
"w컨셉, 니트, 레그워머, 샀어요",2023.11.
"어그, 클리어, 블랙으로, 샀어요",2023.11.
"아디다스, 스위프트런, 샀어요",2023.11.
"유니클로, 보아스웨트, 추가, 구매했어요",2023.11.
"신사없는곳, 블프에서, 가지, 사써여",2023.11.
유니클로x안야힌드마치,2023.11.
"에서, 젤리캣, 샀어요",2023.11.
"아식스, 조그, 실버화이트",2023.11.
"그제샀지만, 메종키츠네, 가디건이요",2023.11.
"논픽션, 비누, 샀어요",2023.11.
"아식스, 조그, S",2023.11.
"린트, 크리스마스, 캘린더, 샀어요, 엄청, 싼데, 크리스마스, 전에, 올지는, 미지수",2023.11.
"컴포트랩, 속옷샀어요",2023.11.
"논픽션, 립밤, 샀어용",2023.11.
"어그, 울트라미니, 샀어요",2023.11.
"나이키, 골프화, 구매했어요",2023.11.
"어제도, 조공용, 패딩구입",2023.11.
"지난번에, 샀는데, 이제서야, 코스, 레몬, 미니요",2023.11.
"국아르켓, 포, 퍼, 자켓, 샀어요",2023.11.
"이자벨마랑, 말티삿어용",2023.11.
바오바오,2023.11.
"면세점, 어그, 클리어, 샀어요",2023.11.
"EQL, 아식스, 조그, S, 샀어요, 빵원결제",2023.11.
"분크, 카드지갑, 샀어요",2023.11.
"벤시몽, 샀어용",2023.11.
"멜빵바지, 키링, 샀어요",2023.11.
"네이버쇼핑, 아식스코리아에서, 아식스, 조그, s, 샀어요",2023.11.
"아식스, 조그s",2023.11.
"룰루레몬, 사이먼데이, 맞이, 눈누네몬, 패딩, 버건디, 색상, 핫핑크, 색상, 샀어요",2023.11.
"아식스, 조그, s, 샀오요",2023.11.
"벤시몽, 장갑, 구매했어요",2023.11.
"코스, 미니크로스바디, 파우치, 오샀",2023.11.
"눕시, 베스트, 샀어요",2023.11.
"어그, 타즈, 샀어요, 어샀",2023.11.
"첫구매, 원딜, 쿠폰, 쓰는걸, 까먹은, 첫구매",2023.11.
"코스, 울, 칼럼, 맥시스커트, 그레이, 샀어요",2023.11.
"어샀, 망손, 다이슨, 애어랩, 샀어요",2023.11.
"끌로에, 마르씨",2023.11.
"듀엘, 세일러, 카라, 가디건, 샀어요",2023.11.
"ssf몰, 메종키츠네, 가디건, 샀어요",2023.11.
"틸아이다이, stella, wool, jacket, 구매했어요",2023.11.
"벤시몽, 샀어요",2023.11.
"나이키, 블랙, 피닉스, 팬츠, 샀어요",2023.11.
"샘소나이트, 캐리어, 샀어요",2023.11.
"비비안웨스트우드, 버킷햇, 블랙, 샀어요",2023.11.
"어제산, 오샀",2023.11.
"귀여운거, 샀어요",2023.11.
"핏, 예쁜, 나이키, 크롭, 플리스, 탑, 샀어요",2023.11.
"따끈따끈한, 신상, 폴로베어, 샀어요",2023.11.
"망고, 코트샀어용",2023.11.
"인생슬랙스를, 찾아, 겨울용, 슬랙스를, 종류별로, 사봤습니다",2023.11.
"벤시몽, 장갑, 샀어요",2023.11.
"토템, 볼캡, 베이지, 샀어요",2023.11.
"세터, 스웨트셔츠, 샀어요",2023.11.
"존바바토스, 아티산, 샀어요",2023.11.
"어제, 산, 프라다, 백팩, 스몰",2023.11.
"마이스, 블프, 세일, 질렀어요",2023.11.
"벼룩보다, 저렴하게, 들인, 젤리캣, 토깽이들",2023.11.
"다이슨, 에어랩, 샀어요",2023.11.
"벤시몽, 공홈에서, 장갑, 샀어요",2023.11.
"어샀이지만, 메종키츠네, 가디건",2023.11.
"탑텐, 세일, 머선일만원짜리, 패딩이, 만원, 패딩하이넥, 집업, 다해서, 만원에, 샀어요",2023.11.
"털바지랑, 반달백",2023.11.
"벤시몽, 장갑, 따사했어요",2023.11.
장갑,2023.11.
"코엑스, 코쓰",2023.11.
"골스튜디오, 후리스샀어요",2023.11.
"벤시몽, 장갑",2023.11.
"탑텐, 오늘, 샀어요",2023.11.
"Ssf, 메종, 가디건, 어샀",2023.11.
"에서, 어그, 샀어용",2023.11.
"무신사, Ugg, 클래식, 클리어, 미니, 블랙, 샀어요, 사이즈, 고민이요",2023.11.
"아무도, 안사는거같은, 키코, 뉴로와, 캐리어, 샀어용",2023.11.
"어제, 메종, 키츠네, 저도, 샀어요",2023.11.
"소녀시대, 효연이, 착용한, 눕시, 샀어요",2023.11.
"sie, 시에, 스커트, 블프세일, 샀어요",2023.11.
"거리, 다이슨, 에어랩, 샀어요",2023.11.
"킨포크노츠, 향수",2023.11.
"벤시몽, 장갑, 따샀했어요",2023.11.
"벤시몽, 따샀했어요",2023.11.
"무신사에서, 벤시몽장갑, 삿어요",2023.11.
"벤시몽, 장갑, 따라샀어요",2023.11.
"노비스, 앨럼, 다운파카, 남편조공용, 득템",2023.11.
"폴로, 퀄팅, 자켓, 샀어요",2023.11.
"벤시몽, 장갑, 샀어요",2023.11.
"cm, 파사드패턴, 더플코트샀어요",2023.11.
"오늘은, 아니고, 어그울트라, 샀어요",2023.11.
"무진장, 블프, 자기전에, 매일, 쇼핑",2023.11.
"무신사에서, 노스페이스, 이어머프, 샀어요",2023.11.
"닉앤니콜, 버튼, 니트, 샀어요",2023.11.
"코스, 퀼티드, 미니, 스톤",2023.11.
"롯데면세점, 술, 샀어요",2023.11.
"베흐트, 하트, 목걸이, 샀어요",2023.11.
"퀼티드, 미니백, 스톤",2023.11.
"코스, 마이크로미니",2023.11.
"미어그, 주문, 했어요",2023.11.
"출국, 전, 에서, 향수, 샀어요",2023.11.
"SSF에서, 메종키츠네, 가디건, 샀어요",2023.11.
"H패션몰에서, 티셔츠, 구매했어요",2023.11.
"출국전에, 이것저것, 샀어용",2023.11.
"에서, 메종키츠네, pk티, 샀어요",2023.11.
"장갑, 막차탔어요",2023.11.
"EQL에서, 미스치프, 백팩, 샀어요",2023.11.
"SSF, 여우한마리, 구매",2023.11.
방수스프레이,2023.11.
"SSF, 메종키츠네, 가디건, 따샀",2023.11.
"가니, 로퍼, 구매했어요",2023.11.
"메종키츠네, 가디건, 샀어요",2023.11.
"저번에, 샀어요",2023.11.
"따샀, 메종키츠네, 회색가디건",2023.11.
"앙큼여우, 따샀햇어요",2023.11.
"가니, 니트티, 샀어요",2023.11.
"따삿, 메종키츠네, s사이즈",2023.11.
"메종키츠네, 가디건, 회색, 따샀했습니다",2023.11.
"새벽에, 결제한, 다이슨이랍니다",2023.11.
"오샀폴로, 헌터, 네이비, 가디건, 구매",2023.11.
"국코스, 블프세일, 마지막날, 큰거, 하나, 샀어요",2023.11.
"메종키츠네, 가디건, 샀어요",2023.11.
"벤시몽, 장갑, 샀더요, 어샀",2023.11.
"톰포드, 향수, 샀어요",2023.11.
"다이슨, 에어랩, 멀티, 스타일러, 블프, 핫딜, 샀오요",2023.11.
"저혼자, 뒷북, 줌보메로, 샀어요",2023.11.
"벤시몽, 장갑, 어제, 친구들이랑, 같사했또요",2023.11.
"어샀, 벤시몽, 달렸어요",2023.11.
"조말론, 향수, 칼린, 백, 샀어요",2023.11.
"빈폴, 티셔츠, 프로, 할인해서, 샀어요",2023.11.
"벤시몽, 장갑, 어제, 샀어용",2023.11.
"ssf, 메종키츠네, 가디건",2023.11.
"저두, 살포시, 여우가디건, 샀어요",2023.11.
"룰루레몬, 아노락",2023.11.
"ssf, 메종키츠네, 가디건, 또, 샀어용",2023.11.
"어제, 벤시몽, 따라샀어요, 득템",2023.11.
ugg어그,2023.11.
"ssf, 메종키츠네, 가디건, 따샀",2023.11.
"SSF, 메종키츠네, 가디건, 샀어요",2023.11.
"SSF, 메종키츠네, 가디건, 따샀",2023.11.
"SSF, 메종키츠네, s사이즈, 막차, 따라, 탔어요",2023.11.
"SSF메종키츠네, 가디건, 새고로, 구매",2023.11.
"다행히, 저희, 남편은, 물욕이, 없거등요, 존바바, 아티산, 향수",2023.11.
"저도, 메종, 가디건, 따라, 샀으나, 사이즈가",2023.11.
"리던, s, 스토브, 파이프, 데님, 팬츠, 샀어요",2023.11.
"유니클로, 눈알, 장갑, 샀어용",2023.11.
"ssf, 메종키츠네, 가디건, 재입고때, 겟",2023.11.
"메종키츠네, 가디건, 샀어요",2023.11.
"메종키츠네, 저도, 구입했어요",2023.11.
"에스에스에프샵, 메종키츠네, 남녀공용, 폭스헤드패치, 클래식가디건",2023.11.
"저도, 벤시몽, 한번, 따라사봤어요",2023.11.
"뒤늦게, 따라샀어요, 벤시몽, 장갑",2023.11.
"어제, 샀어요",2023.11.
"락피쉬, 어그뮬, 샀어요",2023.11.
"메종키츠네, 가디건, 따삿",2023.11.
"ssf, 메종키츠네, 가디건, 따사했어요",2023.11.
"메종키츠네, 가디건, 따라, 샀어요",2023.11.
"SSF, 메종키츠네, 가디건, 샀어요",2023.11.
"메종키츠네, 가디건, 샀어요",2023.11.
"메종키츠네, 가디건, 샀어요",2023.11.
"메종, 저도, 따샀했어요",2023.11.
"Ssf, 키츠네가디건, 따삿, 사이즈, 구매",2023.11.
"이불, 러그, 등등, 이사, 준비",2023.11.
"메종키츠네, 가디건, 오샀",2023.11.
"ssf, 따사동참, 메종키츠네, 가디건, 오늘, 샀어요",2023.11.
"눕시, 샀어요",2023.11.
"Ssf, 메종키츠네, 가디건, 사써요",2023.11.
"저도, 메종, 따라샀어용",2023.11.
"첫, 여우메종키츠네, 가디건샀어요",2023.11.
"ssf샵, 메종키츠네, 따라샀어요",2023.11.
"메종키츠네, 가디건",2023.11.
"메종키츠네, 가디건, 따라샀어용",2023.11.
"SSF샵, 메종키츠네, 가디건",2023.11.
"메종키츠네가디건, 저도, 겟",2023.11.
"ssf, 메종키츠네, 가디건, 따샀했어요",2023.11.
"ssf, 메종키츠네, 가디건, 따사했어요",2023.11.
"따사, 에스티로더, 갈색병ml, ml, 개, 증정",2023.11.
"메종키츠네, 저도, 탑승이요",2023.11.
